indID,popID
Setophaga_graciae_CM_S10255_BEL,southern
Setophaga_graciae_CM_S9116_BEL,southern
Setophaga_graciae_DMNS_52524_COL,northern 
Setophaga_graciae_KU_33633_RACN,southern
Setophaga_graciae_KU_33634_RACN,southern
Setophaga_graciae_KU_8199_SANA,southern
Setophaga_graciae_KU_8218_SANA,southern
Setophaga_graciae_UWBM_105736_ARI,northern 
Setophaga_graciae_UWBM_106758_NM,northern 
Setophaga_graciae_UWBM_106760_NM,northern 
Setophaga_graciae_UWBM_108714_NEV,northern 
Setophaga_graciae_UWBM_111891_NM,northern 
Setophaga_graciae_UWBM_111896_NM,northern 
Setophaga_graciae_UWBM_112576_GUE,guerrero
Setophaga_graciae_UWBM_112587_GUE,guerrero
Setophaga_graciae_UWBM_112592_GUE,guerrero
Setophaga_graciae_UWBM_113059_CHI,southern
Setophaga_graciae_UWBM_113126_CHI,southern
Setophaga_graciae_UWBM_113970_DUR,northern 
Setophaga_graciae_UWBM_114011_DUR,northern 
Setophaga_graciae_UWBM_114012_DUR,northern 
Setophaga_graciae_UWBM_114019_DUR,northern 
Setophaga_graciae_UWBM_114038_DUR,northern  
Setophaga_graciae_UWBM_114046_DUR,northern 
Setophaga_graciae_UWBM_114047_DUR,northern 
Setophaga_graciae_UWBM_114087_CHIH,northern 
Setophaga_graciae_UWBM_114088_CHIH,northern 
Setophaga_graciae_UWBM_114090_CHIH,northern 
Setophaga_graciae_UWBM_114091_CHIH,northern 
Setophaga_graciae_UWBM_114126_CHIH,northern 
Setophaga_graciae_UWBM_114127_CHIH,northern 
Setophaga_graciae_UWBM_114128_CHIH,northern 
Setophaga_graciae_UWBM_114282_NEV,northern 
Setophaga_graciae_UWBM_114424_NEV,northern 
Setophaga_graciae_UWBM_115308_GUE,guerrero
Setophaga_graciae_UWBM_69981_PCA,southern
Setophaga_graciae_UWBM_77653_ARI,northern 
Setophaga_graciae_UWBM_77735_ARI,northern 
Setophaga_graciae_UWBM_84639_ARI,northern 
Setophaga_graciae_UWBM_93801_CPN,northern 
Setophaga_graciae_UWBM_93805_CPN,northern 
Setophaga_graciae_UWBM_93806_CPN,northern 
Setophaga_graciae_UWBM_93807_CPN,northern 
Setophaga_graciae_UWBM_93808_CPN,northern 
Setophaga_graciae_UWBM_95850_ARI,northern 