,Population,10kb,50kb,100kb,250kb,500kb,1mb,5mb,Depth of Coverage,Latitude,Longitude
Setophaga_graciae_DMNS_52524_COL,Colorado,4.19732,1.40264,0.758466,0.292087,0.265252,0.210084,0,17.48,38.762,-108.59
Setophaga_graciae_KU_8199_SANA,El_Salvador,4.92634,1.82675,1.18602,0.63762,0.317628,0.210305,0,15.87,14.36,-89.38
Setophaga_graciae_KU_8218_SANA,El_Salvador,4.9862,1.76304,1.05679,0.558065,0.26455,0.209864,0,11.38,14.36,-89.38
Setophaga_graciae_KU_33633_RACN,Nicaragua,15.5328,7.02145,4.61207,2.68025,1.54091,1.15668,0,19.62,13.53,-84.13
Setophaga_graciae_KU_33634_RACN,Nicaragua,14.4261,4.85288,3.04997,1.44192,0.848806,0.42061,0,15.97,13.53,-84.13
Setophaga_graciae_UWBM_69981_PCA,Nicaragua,12.4087,4.00326,1.62523,0.640512,0.476695,0,0,19.14,14.11,-83.41
Setophaga_graciae_UWBM_77653_ARI,Arizona,4.01213,1.53476,1.17383,0.798509,0.477961,0.419727,0,18.54,31.917,-109.23
Setophaga_graciae_UWBM_77735_ARI,Arizona,0.518401,0.0159847,0,0,0,0,0,12.59,33.187,-109.38
Setophaga_graciae_UWBM_84639_ARI,Arizona,4.22191,1.73014,1.12287,0.292865,0.264971,0,0,18.94,31.9,-109.3
Setophaga_graciae_UWBM_93801_CPN,Honduras,4.9585,1.47508,0.918509,0.478978,0.212202,0.105152,0,16.37,14.86,-89.05
Setophaga_graciae_UWBM_93805_CPN,Honduras,4.69447,1.50054,1.0469,0.452007,0.21164,0,0,14.92,14.86,-89.05
Setophaga_graciae_UWBM_93806_CPN,Honduras,5.79226,2.25737,1.75083,1.24967,0.741133,0.734523,0,14.52,14.86,-89.05
Setophaga_graciae_UWBM_93807_CPN,Honduras,5.12504,1.7307,1.08998,0.478851,0.211864,0,0,12.33,14.86,-89.05
Setophaga_graciae_UWBM_93808_CPN,Honduras,4.72916,1.03999,0.608909,0.239171,0.0529101,0,0,17.52,14.86,-89.05
Setophaga_graciae_UWBM_95850_ARI,Arizona,5.08133,1.94039,1.25,0.558659,0.211752,0.104932,0,20.33,35.05,-113.88
Setophaga_graciae_UWBM_105736_ARI,Arizona,4.15495,1.56233,1.00384,0.478469,0.42328,0.210305,0,17.89,35.4,-111.67
Setophaga_graciae_UWBM_106758_NM,New_Mexico,3.49223,1.27171,0.96082,0.664187,0.476443,0,0,15.48,33.503,-105.78
Setophaga_graciae_UWBM_106760_NM,New_Mexico,5.16382,2.3409,1.64618,1.19585,0.952885,0.84122,0,26.91,33.503,-105.78
Setophaga_graciae_UWBM_108714_NEV,Nevada,4.92686,1.90967,1.28178,0.479489,0.158898,0,0,22.59,37.91,-114.55
Setophaga_graciae_UWBM_111891_NM,New_Mexico,4.51989,2.10729,1.40182,0.798509,0.476948,0.105263,0,29.35,32.034,-104.79
Setophaga_graciae_UWBM_111896_NM,New_Mexico,4.61497,1.99325,1.33633,0.956683,0.793651,0.315457,0,16.21,32.034,-104.79
Setophaga_graciae_UWBM_112575_GUE,Guerrero,3.90647,1.21423,0.736471,0.186071,0,0,0,15.28,17.54,-99.63
Setophaga_graciae_UWBM_112576_GUE,Guerrero,4.03697,1.16006,0.586792,0.159447,0.0529101,0,0,20.19,17.54,-99.63
Setophaga_graciae_UWBM_112587_GUE,Guerrero,3.2701,0.0159932,0,0,0,0,0,10.39,17.54,-99.63
Setophaga_graciae_UWBM_112592_GUE,Guerrero,3.35591,0.785047,0.373294,0.106242,0.0529381,0,0,14.77,17.54,-99.63
Setophaga_graciae_UWBM_113059_CHI,Chiapas,5.74977,2.58251,1.85878,0.985615,0.635593,0.315126,0,17.33,15.87,-93.01
Setophaga_graciae_UWBM_113126_CHI,Chiapas,4.20429,1.87166,1.37835,0.691857,0.582627,0.420168,0,12.01,15.87,-93.01
Setophaga_graciae_UWBM_113970_DUR,Durango,3.26337,1.04261,0.630207,0.185923,0.0529661,0,0,14.99,24.08,-104.93
Setophaga_graciae_UWBM_114011_DUR,Durango,4.67023,2.10532,1.72985,1.22438,1.16587,0.944386,0.487805,16.63,24.08,-104.93
Setophaga_graciae_UWBM_114012_DUR,Durango,1.74954,0.0960205,0.0212993,0,0,0,0,14.69,24.08,-104.93
Setophaga_graciae_UWBM_114019_DUR,Durango,3.67401,1.0656,0.5663,0.159744,0.158814,0,0,21.83,24.08,-104.93
Setophaga_graciae_UWBM_114038_DUR,Durango,2.64023,0.683396,0.373055,0.292165,0.211752,0,0,17.36,24.08,-104.93
Setophaga_graciae_UWBM_114039_DUR,Durango,3.81865,1.72257,1.19518,0.717703,0.529942,0.210305,0,16.53,24.08,-104.93
Setophaga_graciae_UWBM_114046_DUR,Durango,3.43675,1.37316,1.0551,0.79766,0.741133,0.734523,0,16.92,24.08,-104.93
Setophaga_graciae_UWBM_114047_DUR,Durango,2.9213,0.614087,0.202732,0.0265463,0,0,0,17.86,24.08,-104.93
Setophaga_graciae_UWBM_114087_CHIH,Chihuahua,3.00342,0.946575,0.448287,0.318725,0.31746,0.209864,0,16.1,29.65,-108.17
Setophaga_graciae_UWBM_114088_CHIH,Chihuahua,2.08465,0.357352,0.191816,0,0,0,0,15.41,29.65,-108.17
Setophaga_graciae_UWBM_114090_CHIH,Chihuahua,3.62632,1.22453,0.640752,0.31881,0.15873,0,0,13.51,29.65,-108.17
Setophaga_graciae_UWBM_114091_CHIH,Chihuahua,4.71302,2.64777,2.38222,2.20452,2.01485,2.10526,1.95122,15.51,29.65,-108.17
Setophaga_graciae_UWBM_114126_CHIH,Chihuahua,2.75443,0.77387,0.511673,0.345377,0.211977,0.105042,0,16.17,29.65,-108.17
Setophaga_graciae_UWBM_114127_CHIH,Chihuahua,4.05029,1.5042,1.08986,0.638128,0.317797,0.105152,0,20.89,29.65,-108.17
Setophaga_graciae_UWBM_114128_CHIH,Chihuahua,2.18024,0.330949,0.170448,0.159278,0.10582,0,0,15.97,29.65,-108.17
Setophaga_graciae_UWBM_114282_NEV,Nevada,6.80938,4.066,3.4977,2.80075,2.44032,2.21053,0.49505,16.69,36.35,-115.68
Setophaga_graciae_UWBM_114424_NEV,Nevada,3.81844,1.16659,0.800256,0.265887,0.105876,0,0,19.61,36.35,-115.68
Setophaga_graciae_UWBM_115308_GUE,Guerrero,3.97224,1.41305,0.971081,0.557917,0.42328,0.315126,0,17.63,17.54,-99.63